2026-05-06 17:39:33.355 | DEBUG | lever | [SONICUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:34.049 | DEBUG | lever | [AVAAIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:34.749 | DEBUG | lever | [SUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:35.446 | DEBUG | lever | [TRUMPUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:36.145 | DEBUG | lever | [MELANIAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:36.844 | DEBUG | lever | [ARCUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:37.543 | DEBUG | lever | [SOLVUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:38.242 | DEBUG | lever | [ANIMEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:38.950 | DEBUG | lever | [VVVUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:39.656 | DEBUG | lever | [PIPPINUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:40.365 | DEBUG | lever | [BERAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:41.063 | DEBUG | lever | [TSTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:41.762 | DEBUG | lever | [LAYERUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:42.464 | DEBUG | lever | [IPUSDT] Setup OK: 10x (Cross)
